产品(主键),规格,小单位,小单位价格,大单位,大单位价格,换算来源
真程运嘉（原味）,20根*4包,包,102.5,件,410.0,D列直取
真程运嘉（黑胡椒）,20根*4包,包,102.5,件,410.0,D列直取
真程运嘉（脆骨藤椒味）,20根*4包,包,102.5,件,410.0,D列直取
真程运嘉（蒜香味）,20根*4包,包,102.5,件,410.0,D列直取
真程运嘉（孜然味）,20根*4包,包,102.5,件,410.0,D列直取
真程运嘉（黑鸭）,20根*4包,包,102.5,件,410.0,D列直取
兴威肉枣肠（黑胡椒）,3.75kg*4包,包,102.5,件,410.0,D列直取
兴威肉枣肠（甜肠）,3.75kg*4包,包,102.5,件,410.0,D列直取
蟹黄卤肉肠,2.5kg*4,包,102.5,件,410.0,D列直取
台湾小枣肠,1*25斤,斤,13.4,件,335.0,D列直取
香辣味(漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
香辣味（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
黑椒肠（卤肉肠）,3.6kg*4袋,包,102.5,件,410.0,D列直取
原味（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
蒜香（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
孜然（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
辣条味（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
熏肉味（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
排骨香肠（那氏）,1*30斤,斤,5.8333,件,175.0,D列直取
台湾风味肉枣肠（那氏）,1*25斤,斤,13.4,件,335.0,D列直取
风干“原味风干肠”（东风）,1*17根*5包,包,93.0,件,465.0,D列直取
（那氏）玉米肠,1*20根*4包,包,102.5,件,410.0,D列直取
玉米味（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
黑胡椒（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
黑鸭（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
藤椒脆骨（漳州）,180G*20根*4包,包,102.5,件,410.0,D列直取
手工腊肠（中式香肠）（腊肠）,1*20包,包,10.0,件,200.0,D列直取
五香香肠(绿贴标)/风干大（腊肠）,1*5根*20包,包,10.0,件,200.0,D列直取
鱼籽味（天清）,1*4包*14根,包,77.5,件,310.0,D列直取
牛肉味（漳州）,1*20根*4包,包,77.5,件,310.0,D列直取
花瓣甜肠（猪肉）,1*4包*5斤,包,116.25,件,465.0,D列直取
花瓣甜肠（天清）,1*4包*5斤,包,116.25,件,465.0,D列直取
花瓣甜肠（那氏）,1*3包*10斤,包,155.0,件,465.0,D列直取
香酥肉卷（天清）,1*4包*12根,包,57.5,件,230.0,D列直取
原味风干肠,1*5包,包,93.0,件,465.0,D列直取
墨鱼肠,20根*4包,包,102.5,件,410.0,D列直取
原味（御味香）,,,,件,410.0,D列直取
烤肠胡椒,1*4包,包,90.0,件,360.0,D列直取
烤肠原味,1*4包,包,90.0,件,360.0,D列直取
霸道烤肠原味,1*4包,包,90.0,件,360.0,D列直取
霸道烤肠黑胡椒,1*4包,包,90.0,件,360.0,D列直取
大盘肠,1*2包,包,143.0,件,286.0,D列直取
粗腊肠,,包,10.0,件,,D列直取
细腊肠,,包,10.0,件,,D列直取
墨鱼,20根*4包,包,102.5,件,410.0,用户补充映射(2026-03-03)
五香香肠(绿贴标)/风干大,1*5根*20包,包,10.0,件,200.0,用户补充映射(2026-03-03)
塞维红肠,1*10对,对,7.0,件,70.0,用户补充映射(2026-03-03)
手工腊肠（中式香肠）,1*20包,包,10.0,件,200.0,用户补充映射(2026-03-03)
板栗甜（栗子肉),1箱/件,,,件,176.0,图片规则:仅大单位(2026-03-05)
绿豆栗子饼（40克）,1箱/件,,,件,165.0,图片规则:仅大单位(2026-03-05)
玫瑰,1箱/件,,,件,165.0,图片规则:仅大单位(2026-03-05)
苏子,1箱/件,,,件,165.0,图片规则:仅大单位(2026-03-05)
椒盐饼,1箱/件,,,件,,图片规则:仅大单位(2026-03-05)
红豆,1箱/件,,,件,165.0,图片规则:仅大单位(2026-03-05)
椰香,1箱/件,,,件,165.0,图片规则:仅大单位(2026-03-05)
花生,1箱/件,,,件,,图片规则:仅大单位(2026-03-05)
金丝枣泥,1箱/件,,,件,168.0,图片规则:仅大单位(2026-03-05)
黑芝麻,1箱/件,,,件,176.0,图片规则:仅大单位(2026-03-05)
五仁,1箱/件,,,件,176.0,图片规则:仅大单位(2026-03-05)
板栗甜,250个/箱,个,0.704,件,176.0,图片补充(2026-03-03)
板栗咸,1箱/件,,,件,179.0,图片规则:仅大单位(2026-03-05)
牛舌(经典椒盐),1箱/件,,,件,190.0,图片规则:仅大单位(2026-03-05)
绿豆,1箱/件,,,件,165.0,更正:与绿豆栗子饼拆分主键(2026-03-05)
